Организация,Контракт,Тип,Номер,Причина,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,Всего
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M433,194352M433, 183 , 132 , 81 , 81 , 92 , 149 , 213 , 480 , 703 ,1 030 ,1 242 ,1 506 ,,,,,,,,,,,,,5 892 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M434,194352M434, 8 , 6 , 4 , 2 , 4 , 11 , 17 , 28 , 48 , 67 , 74 , 98 ,,,,,,,,,,,,, 367 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M435,194352M435,,,,,,,,,,, 525 ,,,,,,,,,,,,,, 525 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M436,194352M436, 45 , 44 , 22 , 24 , 15 , 16 , 32 , 97 , 264 , 361 , 458 , 480 ,,,,,,,,,,,,,1 858 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M437,194352M437, 71 , 58 , 35 , 33 , 18 , 19 , 45 , 100 , 243 , 339 , 484 , 541 ,,,,,,,,,,,,,1 986 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M438,194352M438, 11 , 6 ,, 6 , 5 , 11 , 18 , 50 , 77 , 103 , 119 , 141 ,,,,,,,,,,,,, 547 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M439,194352M439, 113 , 83 , 65 , 38 , 41 , 103 , 140 , 257 , 272 , 390 , 422 , 482 ,,,,,,,,,,,,,2 406 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M440,194352M440, 115 , 81 , 47 , 46 , 69 , 102 , 162 , 442 , 498 , 567 , 714 , 742 ,,,,,,,,,,,,,3 585 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M441,194352M441, 117 , 77 , 60 , 56 , 26 , 86 , 122 , 250 , 352 , 407 , 589 , 639 ,,,,,,,,,,,,,2 781 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M442,194352M442, 193 , 113 , 127 , 107 , 30 , 99 , 214 , 466 , 530 , 648 , 729 , 824 ,,,,,,,,,,,,,4 080 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M443,194352M443, 20 , 18 , 11 , 5 , 1 , 7 , 9 , 20 , 73 , 101 , 102 , 107 ,,,,,,,,,,,,, 474 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M444,194352M444, 23 , 21 , 5 , 11 , 4 , 21 , 38 , 61 , 85 , 161 , 211 , 228 ,,,,,,,,,,,,, 869 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M445,194352M445, 16 , 5 , 2 , 3 , 1 , 4 , 13 , 22 , 57 , 98 , 111 , 118 ,,,,,,,,,,,,, 450 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M446,194352M446, 51 , 23 , 27 , 25 , 16 , 23 , 33 , 110 , 216 , 243 , 306 , 344 ,,,,,,,,,,,,,1 417 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M447,194352M447, 109 , 89 , 97 , 54 , 55 , 48 , 109 , 186 , 287 , 302 , 355 , 342 ,,,,,,,,,,,,,2 033 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M448,194352M448, 22 , 11 , 6 , 5 , 8 , 17 ,,,,,,,,,,,,,,,,,,, 69 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M449,194352M449, 36 , 20 , 16 , 10 , 8 , 11 , 39 , 54 , 112 , 115 , 173 , 187 ,,,,,,,,,,,,, 781 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M450,194352M450, 16 , 14 , 3 , 3 , 4 ,, 3 , 13 , 36 , 59 , 83 , 85 ,,,,,,,,,,,,, 319 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M451,194352M451, 38 , 25 , 27 , 25 , 16 , 17 , 71 , 114 , 151 , 189 , 198 , 216 ,,,,,,,,,,,,,1 087 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M452,194352M452, 1 , 1 , 1 , 1 , 3 , 5 , 13 , 17 , 36 , 29 , 32 , 32 ,,,,,,,,,,,,, 171 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M453,194352M453, 15 , 15 , 7 , 5 , 3 , 8 , 27 , 59 , 114 , 129 , 105 , 142 ,,,,,,,,,,,,, 629 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M454,194352M454, 152 , 81 , 69 , 65 , 79 , 105 , 179 , 327 , 424 , 568 , 670 , 792 ,,,,,,,,,,,,,3 511 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M455,194352M455, 26 , 10 , 6 , 7 , 1 , 9 , 17 , 37 , 60 , 86 , 92 , 129 ,,,,,,,,,,,,, 480 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M456,194352M456, 67 , 45 , 34 , 34 , 17 , 40 , 29 , 153 , 233 , 196 , 290 , 301 ,,,,,,,,,,,,,1 439 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M457,194352M457, 110 , 100 , 68 , 74 , 61 , 89 , 104 , 194 , 271 , 282 , 307 , 348 ,,,,,,,,,,,,,2 008 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M458,194352M458, 3 , 1 ,, 1 , 2 , 3 , 7 , 32 , 137 , 173 , 235 , 258 ,,,,,,,,,,,,, 852 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M459,194352M459, 6 , 3 , 3 ,, 2 , 8 , 17 , 17 , 105 , 159 , 194 , 176 ,,,,,,,,,,,,, 690 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M460,194352M460, 18 , 18 , 11 , 5 , 3 , 9 , 12 , 33 , 77 , 125 , 149 , 144 ,,,,,,,,,,,,, 604 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M461,194352M461, 45 , 35 , 30 , 15 , 19 , 31 , 52 , 114 , 145 , 197 , 234 ,,,,,,,,,,,,,, 917 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M462,194352M462, 77 , 44 , 33 , 55 , 20 , 53 , 84 , 133 , 147 , 205 , 209 , 234 ,,,,,,,,,,,,,1 294 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M463,194352M463, 22 , 6 , 5 , 6 , 4 , 3 , 6 , 21 , 43 , 60 , 43 , 50 ,,,,,,,,,,,,, 269 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M464,194352M464, 97 , 97 , 108 , 56 , 64 , 26 , 87 , 166 , 268 , 293 , 324 , 312 ,,,,,,,,,,,,,1 898 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M465,194352M465, 64 , 45 , 38 , 41 , 37 , 43 , 59 , 113 , 168 , 177 , 184 , 247 ,,,,,,,,,,,,,1 216 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M466,194352M466, 31 , 25 , 13 , 15 , 11 , 7 ,,,, 112 , 192 , 183 ,,,,,,,,,,,,, 589 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M467,194352M467, 47 , 36 , 25 , 25 , 19 , 42 , 62 , 134 , 200 , 288 , 315 , 361 ,,,,,,,,,,,,,1 554 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M468,194352M468, 40 , 29 , 28 , 15 , 15 , 25 , 44 , 87 , 138 , 168 , 211 , 223 ,,,,,,,,,,,,,1 023 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M469,194352M469, 35 , 24 , 21 , 19 , 10 , 26 , 46 , 88 , 110 , 158 , 203 , 210 ,,,,,,,,,,,,, 950 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M470,194352M470, 196 , 144 , 131 , 115 , 104 , 161 , 318 , 473 , 627 , 773 , 852 , 862 ,,,,,,,,,,,,,4 756 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M471,194352M471, 44 , 31 , 23 , 12 , 20 , 22 , 42 , 82 , 144 , 200 , 219 , 246 ,,,,,,,,,,,,,1 085 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M472,194352M472, 27 , 11 , 10 , 4 , 12 , 14 , 27 , 63 , 105 , 151 , 201 , 224 ,,,,,,,,,,,,, 849 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M473,194352M473, 35 , 19 , 20 , 11 , 8 , 14 , 16 , 43 , 77 , 99 , 113 , 128 ,,,,,,,,,,,,, 583 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M474,194352M474, 46 , 28 , 27 , 27 , 3 , 26 , 50 , 154 , 201 , 319 , 461 , 540 ,,,,,,,,,,,,,1 882 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M476,194352M476, 28 , 17 , 10 , 10 , 9 , 3 , 30 , 53 , 89 , 122 , 163 , 187 ,,,,,,,,,,,,, 721 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M477,194352M477, 143 , 113 , 93 , 89 , 59 , 78 , 158 , 275 , 484 , 484 , 552 , 597 ,,,,,,,,,,,,,3 125 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M478,194352M478, 93 , 68 , 46 , 42 , 37 , 69 , 134 , 286 , 392 , 473 , 465 , 525 ,,,,,,,,,,,,,2 630 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M479,194352M479, 46 , 27 , 23 , 21 , 39 , 42 , 62 , 89 , 130 , 143 , 182 , 183 ,,,,,,,,,,,,, 987 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M480,194352M480, 30 , 11 , 12 , 7 , 7 , 15 , 21 , 37 , 91 , 133 , 152 , 184 ,,,,,,,,,,,,, 700 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M481,194352M481, 15 , 14 , 9 , 8 , 3 , 1 , 12 , 11 , 56 , 94 , 119 , 125 ,,,,,,,,,,,,, 467 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M482,194352M482, 20 , 15 , 14 , 8 , 12 , 17 , 30 , 64 , 98 , 124 , 171 , 191 ,,,,,,,,,,,,, 764 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M483,194352M483, 96 , 70 , 43 , 48 , 42 , 89 , 111 , 196 , 316 , 417 , 548 , 602 ,,,,,,,,,,,,,2 578 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M484,194352M484, 12 , 11 , 6 , 2 , 6 , 21 , 13 , 36 , 180 , 204 , 197 , 209 ,,,,,,,,,,,,, 897 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M485,194352M485, 16 , 24 , 10 , 11 , 6 , 8 , 21 , 46 , 176 , 210 , 255 , 289 ,,,,,,,,,,,,,1 072 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M486,194352M486, 82 , 42 , 48 , 34 , 34 , 65 , 108 , 249 , 359 , 491 , 662 , 780 ,,,,,,,,,,,,,2 954 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M487,194352M487, 17 , 5 ,,, 3 , 2 , 9 , 14 , 18 , 33 , 33 , 33 ,,,,,,,,,,,,, 167 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M488,194352M488, 176 , 115 , 96 , 87 , 150 , 178 ,,,,,,,,,,,,,,,,,,, 802 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M489,194352M489, 50 , 31 , 15 , 16 , 10 , 17 , 22 , 124 , 185 , 264 , 247 , 283 ,,,,,,,,,,,,,1 264 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M490,194352M490, 19 , 16 , 6 , 14 , 20 , 13 , 37 , 79 , 144 , 233 , 278 , 301 ,,,,,,,,,,,,,1 160 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M491,194352M491, 76 , 60 , 62 , 70 , 60 , 52 , 88 , 230 , 302 , 370 , 399 , 525 ,,,,,,,,,,,,,2 294 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M492,194352M492, 20 , 17 , 9 , 8 , 8 , 9 , 27 , 42 , 58 , 111 , 119 , 119 ,,,,,,,,,,,,, 547 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M493,194352M493, 34 , 31 , 15 , 13 , 5 , 16 , 24 , 58 , 92 , 119 , 178 , 232 ,,,,,,,,,,,,, 817 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M494,194352M494, 131 , 75 , 59 , 37 , 25 , 47 , 75 , 221 , 312 , 324 , 397 , 476 ,,,,,,,,,,,,,2 179 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M495,194352M495, 26 , 13 , 13 , 11 , 8 , 7 , 16 , 90 , 82 , 98 , 150 , 162 ,,,,,,,,,,,,, 676 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M496,194352M496, 146 , 103 , 86 , 68 , 64 , 110 , 210 , 477 , 684 , 892 ,1 051 ,1 193 ,,,,,,,,,,,,,5 084 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M497,194352M497, 24 , 24 , 19 , 11 , 15 , 18 , 18 , 38 , 103 , 156 , 193 , 222 ,,,,,,,,,,,,, 841 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M498,194352M498, 34 , 30 , 12 , 11 , 10 , 14 , 44 , 57 , 150 , 253 , 383 , 389 ,,,,,,,,,,,,,1 387 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M499,194352M499, 167 , 120 , 97 , 97 , 53 , 95 , 175 , 269 , 450 , 452 , 516 , 563 ,,,,,,,,,,,,,3 054 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M500,194352M500, 18 , 10 , 11 , 5 , 7 , 37 , 61 , 146 , 140 , 160 , 188 , 194 ,,,,,,,,,,,,, 977 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M501,194352M501, 88 , 59 , 47 , 42 , 35 , 49 , 19 , 124 , 200 , 231 , 272 , 231 ,,,,,,,,,,,,,1 397 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M502,194352M502, 307 , 191 , 127 , 123 , 105 , 79 , 178 , 393 , 692 , 924 ,1 395 ,1 553 ,,,,,,,,,,,,,6 067 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M503,194352M503, 130 , 66 , 57 , 30 , 28 , 45 , 87 , 199 , 291 , 313 , 482 , 555 ,,,,,,,,,,,,,2 283 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M504,194352M504,,,,,,,, 3 , 132 , 219 , 269 , 218 ,,,,,,,,,,,,, 841 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M505,194352M505, 25 , 19 , 15 , 13 , 20 , 10 , 37 , 54 , 100 , 116 , 145 , 144 ,,,,,,,,,,,,, 698 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M506,194352M506, 27 , 17 , 9 , 12 , 13 , 9 , 16 , 45 , 53 , 80 , 69 , 149 ,,,,,,,,,,,,, 499 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M507,194352M507, 1 , 3 , 5 , 1 , 3 , 10 , 20 , 78 , 118 , 154 , 203 , 196 ,,,,,,,,,,,,, 792 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M508,194352M508, 154 , 84 , 97 , 79 , 106 , 119 , 219 , 482 , 672 , 678 , 793 , 797 ,,,,,,,,,,,,,4 280 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M509,194352M509, 12 , 10 , 4 , 2 , 1 , 5 , 50 , 101 , 124 , 136 , 31 ,,,,,,,,,,,,,, 476 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M510,194352M510, 67 , 61 , 28 , 22 , 24 , 23 , 72 , 263 , 326 , 348 , 467 , 438 ,,,,,,,,,,,,,2 139 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M511,194352M511, 130 , 116 , 90 , 94 , 58 , 56 , 145 , 223 , 383 , 403 , 423 , 475 ,,,,,,,,,,,,,2 596 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M512,194352M512, 14 , 19 , 9 , 6 , 9 , 6 , 18 , 44 , 122 , 163 , 164 , 155 ,,,,,,,,,,,,, 729 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M513,194352M513, 39 , 23 , 15 , 8 , 7 , 15 , 42 , 193 , 151 , 151 , 158 , 167 ,,,,,,,,,,,,, 969 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M514,194352M514, 14 , 19 , 19 , 6 , 11 , 11 , 25 , 52 , 76 , 99 , 128 , 128 ,,,,,,,,,,,,, 588 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M515,194352M515, 24 , 14 , 9 , 10 , 13 , 8 , 32 , 103 , 128 , 145 , 176 ,,,,,,,,,,,,,, 662 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M517,194352M517, 74 , 53 , 56 , 50 , 30 , 40 , 39 , 169 , 234 , 239 , 265 , 280 ,,,,,,,,,,,,,1 529 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M518,194352M518, 124 , 104 , 92 , 88 , 79 , 76 , 55 , 138 , 265 , 265 , 339 , 321 ,,,,,,,,,,,,,1 946 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M519,194352M519, 3 , 2 , 9 , 2 , 1 , 5 , 21 , 17 , 29 , 54 ,,,,,,,,,,,,,,, 143 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M520,194352M520, 270 , 152 , 128 , 103 , 72 , 47 , 107 , 298 , 388 , 522 , 817 , 924 ,,,,,,,,,,,,,3 828 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M521,194352M521, 99 , 56 , 29 , 43 , 36 , 32 , 41 , 167 , 236 , 291 , 310 , 401 ,,,,,,,,,,,,,1 741 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M522,194352M522, 47 , 27 , 27 , 7 , 8 , 11 , 33 , 97 , 152 , 217 , 296 , 325 ,,,,,,,,,,,,,1 247 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M523,194352M523, 216 , 138 , 93 , 83 , 49 , 30 , 48 , 182 , 239 , 292 , 412 , 456 ,,,,,,,,,,,,,2 238 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M524,194352M524, 44 , 32 , 17 , 13 , 14 , 18 , 42 , 96 , 115 , 174 , 207 , 241 ,,,,,,,,,,,,,1 013 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M525,194352M525, 25 , 12 , 13 , 3 , 4 , 12 , 22 , 77 , 115 , 151 , 196 , 173 ,,,,,,,,,,,,, 803 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M526,194352M526, 108 , 68 , 36 , 46 , 28 , 42 , 77 , 104 , 384 , 452 , 579 , 674 ,,,,,,,,,,,,,2 598 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M527,194352M527, 6 , 4 , 5 , 4 , 1 , 1 ,, 6 , 19 , 28 , 62 , 67 ,,,,,,,,,,,,, 203 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M528,194352M528, 64 , 31 , 16 , 13 , 7 , 21 , 146 , 273 , 313 , 390 , 460 , 495 ,,,,,,,,,,,,,2 229 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M529,194352M529, 10 , 11 , 13 , 5 , 4 , 11 , 41 , 70 , 87 , 104 , 104 , 113 ,,,,,,,,,,,,, 573 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M530,194352M530, 28 , 12 , 13 , 5 , 5 , 12 , 25 , 73 , 93 , 122 , 170 , 179 ,,,,,,,,,,,,, 737 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M531,194352M531, 23 , 9 , 13 , 7 , 8 , 18 , 56 , 147 , 136 , 145 , 141 , 155 ,,,,,,,,,,,,, 858 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M533,194352M533, 155 , 110 , 87 , 57 , 40 , 110 , 427 , 726 , 525 , 557 , 669 , 870 ,,,,,,,,,,,,,4 333 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M534,194352M534, 4 , 3 ,, 2 , 2 , 3 , 5 , 7 , 32 , 40 , 41 , 40 ,,,,,,,,,,,,, 179 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M535,194352M535, 27 , 18 , 18 , 18 , 12 , 9 , 12 , 90 ,,,,,,,,,,,,,,,,, 204 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M536,194352M536, 53 , 26 , 24 , 10 , 12 , 29 , 69 , 127 , 214 , 272 , 328 , 340 ,,,,,,,,,,,,,1 504 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M538,194352M538, 7 , 10 , 7 , 1 , 12 , 32 , 67 , 151 , 197 , 327 , 384 , 426 ,,,,,,,,,,,,,1 621 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M539,194352M539, 10 , 4 , 9 ,,,,,,,,,,,,,,,,,,,,,, 23 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M540,194352M540, 162 , 129 , 61 , 59 , 30 , 42 , 107 , 240 , 372 , 553 , 748 , 819 ,,,,,,,,,,,,,3 322 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M541,194352M541, 79 , 35 , 38 , 25 , 14 , 38 , 72 , 222 , 256 , 292 , 386 , 418 ,,,,,,,,,,,,,1 875 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M542,194352M542, 29 , 17 , 10 , 18 , 12 , 16 , 33 , 78 , 120 , 143 , 143 , 201 ,,,,,,,,,,,,, 820 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M543,194352M543, 3 , 6 , 1 , 1 , 3 ,, 13 , 16 , 36 , 36 , 36 , 61 ,,,,,,,,,,,,, 212 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M544,194352M544, 79 , 39 , 31 , 27 , 18 , 22 , 45 , 115 , 214 , 267 , 300 , 377 ,,,,,,,,,,,,,1 534 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M545,194352M545, 36 , 21 , 16 , 21 , 7 , 15 , 14 , 61 , 129 , 165 , 150 , 212 ,,,,,,,,,,,,, 847 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M546,194352M546, 109 , 95 , 54 , 40 , 18 , 83 , 277 , 462 , 341 , 419 , 443 , 557 ,,,,,,,,,,,,,2 898 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M547,194352M547, 36 , 20 , 4 , 6 , 1 , 12 , 52 , 96 , 121 , 119 , 163 , 160 ,,,,,,,,,,,,, 790 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M548,194352M548, 86 , 72 , 40 , 44 , 26 , 54 , 105 , 227 , 294 , 431 , 499 ,,,,,,,,,,,,,,1 878 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M549,194352M549, 8 , 5 , 1 , 4 , 3 , 4 , 7 , 25 , 71 , 76 , 102 , 107 ,,,,,,,,,,,,, 413 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M550,194352M550, 69 , 44 , 29 , 19 , 18 , 23 , 58 , 181 , 236 , 318 , 407 , 396 ,,,,,,,,,,,,,1 798 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M551,194352M551, 224 , 303 , 163 , 129 , 323 , 412 , 549 ,1 001 ,1 230 ,1 453 ,1 600 ,1 722 ,,,,,,,,,,,,,9 109 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M552,194352M552, 58 , 24 , 27 , 17 , 13 , 23 , 50 , 80 , 178 , 254 , 336 , 503 ,,,,,,,,,,,,,1 563 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M553,194352M553, 103 , 57 , 50 , 42 , 53 , 70 , 115 , 182 , 233 , 275 , 310 , 359 ,,,,,,,,,,,,,1 849 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M554,194352M554, 76 , 69 , 45 , 34 , 30 , 81 , 226 , 387 , 434 , 556 , 528 , 520 ,,,,,,,,,,,,,2 986 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M555,194352M555, 34 , 31 , 7 , 6 , 9 , 19 , 13 , 48 , 171 , 216 , 235 , 231 ,,,,,,,,,,,,,1 020 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M556,194352M556, 132 , 93 , 81 , 82 , 57 , 31 , 44 , 208 , 348 , 321 , 355 , 390 ,,,,,,,,,,,,,2 142 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M557,194352M557, 76 , 90 , 70 , 69 , 50 , 36 , 147 , 297 , 384 , 451 , 594 , 603 ,,,,,,,,,,,,,2 867 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M558,194352M558, 47 , 27 , 25 , 24 , 14 , 24 , 43 , 70 , 257 , 299 , 355 , 418 ,,,,,,,,,,,,,1 603 
