Организация,Контракт,Тип,Номер,Причина,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,Всего
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M411,194352M411, 25 , 23 , 13 , 16 , 25 , 36 , 38 , 91 , 79 , 125 , 133 , 140 ,,,,,,,,,,,,, 744 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M412,194352M412, 42 , 22 , 18 , 9 , 7 , 6 , 14 , 66 , 133 , 182 , 166 , 233 ,,,,,,,,,,,,, 898 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M413,194352M413, 53 , 30 , 85 , 67 , 25 , 12 , 16 , 215 , 387 , 469 , 495 , 490 ,,,,,,,,,,,,,2 344 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M414,194352M414, 50 , 31 , 14 , 16 , 11 , 14 , 15 , 102 , 129 , 144 , 179 , 199 ,,,,,,,,,,,,, 904 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M415,194352M415, 36 , 34 , 16 , 16 , 7 , 10 , 51 , 105 , 218 , 292 , 360 , 374 ,,,,,,,,,,,,,1 519 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M416,194352M416, 237 , 174 , 119 , 125 , 87 , 123 , 230 , 322 , 407 , 462 , 526 , 490 ,,,,,,,,,,,,,3 302 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M417,194352M417, 36 , 15 , 9 , 4 , 14 , 12 , 21 , 42 , 102 , 164 , 194 , 195 ,,,,,,,,,,,,, 808 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M418,194352M418, 40 , 18 , 12 , 17 , 11 , 26 , 29 , 57 , 109 , 141 , 151 , 158 ,,,,,,,,,,,,, 769 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M420,194352M420, 19 , 11 , 12 , 3 , 5 , 10 , 12 , 27 , 95 , 134 , 190 , 219 ,,,,,,,,,,,,, 737 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M421,194352M421, 77 , 68 , 48 , 47 , 23 , 38 , 72 , 150 , 192 , 250 , 266 , 290 ,,,,,,,,,,,,,1 521 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M423,194352M423, 4 , 1 ,,, 3 , 6 , 8 , 39 , 49 , 44 , 60 , 59 ,,,,,,,,,,,,, 273 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M424,194352M424, 79 , 50 , 47 , 50 , 33 , 36 , 47 , 117 , 207 , 144 , 98 , 140 ,,,,,,,,,,,,,1 048 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M425,194352M425, 90 , 45 , 45 , 41 , 41 , 70 , 111 , 279 , 412 , 545 , 720 , 808 ,,,,,,,,,,,,,3 207 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M426,194352M426, 124 , 87 , 107 , 98 , 67 , 170 , 346 , 504 , 677 , 789 , 898 , 913 ,,,,,,,,,,,,,4 780 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M427,194352M427, 17 , 18 , 9 , 4 , 6 , 11 , 17 , 28 , 44 , 65 , 78 , 79 ,,,,,,,,,,,,, 376 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M428,194352M428, 345 , 249 , 198 , 294 , 162 , 451 , 524 , 866 , 991 ,1 441 ,1 768 ,2 078 ,,,,,,,,,,,,,9 367 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M429,194352M429, 36 , 25 , 21 , 19 , 18 , 36 , 39 , 96 , 135 , 138 , 189 , 192 ,,,,,,,,,,,,, 944 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M430,194352M430, 36 , 32 , 25 , 25 , 20 , 24 , 65 , 112 , 164 , 155 , 190 , 193 ,,,,,,,,,,,,,1 041 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M431,194352M431, 12 , 13 , 8 , 6 , 4 , 7 , 7 , 8 , 30 , 60 , 65 , 13 ,,,,,,,,,,,,, 233 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M432,194352M432, 42 , 43 , 22 , 32 , 9 , 32 , 57 , 85 , 116 , 140 , 128 , 161 ,,,,,,,,,,,,, 867 
