Этап,№ сим карты,№ Комплекса,Обозначение,IP адрес,IP адрес БИС,Свидетельство о поверки,Дата выдачи,Срок действия,Скорость на комплексе,TV,IRZ,Описание дислокации,Адрес установки,Направление камеры,Направление фиксации,Район,Координаты
1,79659276652,194352M016,uragan-105,10.32.8.106,192.168.144.16,С-АБ/01-12-2021/116447281,01.12.2021,30.11.2023,60,1382314455,1003584,"РБ, г.Нефтекамск, пр-т Юбилейный, 10","Республика Башкортостан, Городской округ город Нефтекамск, г. Нефтекамск, проспект Юбилейный, д. 10",от ул. Ленина к ул. Социалистическая,"ближнее - встречное, дальнее - попутное",Городской округ город Нефтекамск,56.093772 54.241733
1,79659279845,194352M017,uragan-032,10.32.8.33,192.168.144.17,С-АБ/26-11-2021/114717614,26.11.2021,25.11.2023,60,1344526847,1003553,"РБ, Дюртюлинский р-н, г. Дюртюли, ул. Ленина, д.8","Республика Башкортостан, Дюртюлинский район, г.Дюртюли, ул. Ленина, д. 8",от ул. 70-летия Октября к ул. Назара Наджми,"ближнее - встречное, дальнее - попутное",Дюртюлинский район,55.486727 54.865535
1,79276363925,194352M018,uragan-143,10.32.8.144,192.168.144.18,С-АБ/16-08-2021/87786839,16.08.2021,15.08.2023,90/90,967689348,1003519,"РБ, Иглинский р-н, а-д М-5 ""Урал"", Самара-Уфа-Челябинск, 1523 км 437 м",,,"ближнее - попутное, дальнее - встречное",Иглинский район,54.816833 56.760808
1,79659278738,194352M019,uragan-117,10.32.8.118,192.168.144.19,С-АБ/03-12-2021/117181955,03.12.2021,02.12.2023,40,1349789419,1003577,"РБ, Благовещенский р-н, г.Благовещенск, ул.Седова, д.11","Республика Башкортостан, Благовещенский район, г. Благовещенск, ул. Седова, д. 11",от ул. Островная к ул. Будённого,"ближнее - встречное, дальнее - попутное",Благовещенский район,55.034653 55.965095
1,79659279084,194352M020,uragan-136,10.32.8.137,192.168.144.20,С-АБ/24-08-2021/90187493,24.08.2021,23.08.2023,90,1373919504,1003482,"РБ, Уфимский р-н, а-д Р-240, Уфа-Оренбург, 27 км 60 м",,,встречное,Уфимский район,54.486896 55.907948
1,79659280196,194352M021,uragan-125,10.32.8.126,192.168.144.21,С-АБ/13-12-2021/117837343,13.12.2021,12.12.2023,"встречное - 60, попутное -40",1746204839,1003544,"РБ, Аургазинский р-н, с.Толбазы, ул.Ленина, 217","Республика Башкортостан, Аургазинский район, с. Толбазы, ул. Ленина, д. 217",к ул. Шевченко,"ближнее - попутное, дальнее - встречное",Аургазинский район,53.987476 55.908612
1,79659275023,194352M022,uragan-028,10.32.8.29,192.168.144.22,С-АБ/18-02-2022/134319425,18.02.2022,17.02.2024,90,1348006901,1003491,"РБ, Туймазинский р-н, а-д М-5 ""Урал"", 1306км+300м","РБ, Туймазинский р-н, а-д М-5 ""Урал"", 1306км+300м",,"ближнее - попутное, дальнее - встречное",Туймазинский район,54.468114 53.752102
1,79659276447,194352M023,uragan-038,10.32.8.39,192.168.144.23,С-АБ/09-12-2021/117837395,09.12.2021,08.12.2023,60,1326448065,1003597,"РБ, г.Учалы, пер.Ахметгалина–а-д Белорецк–Учалы–Миасс","Республика Башкортостан, Учалинский район, г. Учалы, перекресток Ахметгалина – а-д Белорецк – Учалы – Миасс",от ул. Ахметгалина к ул. Маслозаводская,"ближнее - попутное, дальнее - встречное",Учалинский район,54.344853 59.372329
1,79659275345,194352M024,uragan-055,10.32.8.56,192.168.144.24,С-АБ/13-12-2021/117837345,13.12.2021,12.12.2023,40,1462098476,1003501,"РБ, Давлекановский р-н, г.Давлеканово, ул.Уральская, д.48","Республика Башкортостан, Давлекановский район, г. Давлеканово, ул. Уральская, д. 48",от ул. Али Карная к ул. Свободы,Встречное,Давлекановский район,"54.209645, 55.008510"
1,79276356467,194352M025,uragan-120,10.32.8.121,192.168.144.25,С-АБ/03-12-2021/117181952,03.12.2021,02.12.2023,60,1323074141,1003484,"РБ, Давлекановский р-н, г.Давлеканово, ул.Энгельса, д.16","Республика Башкортостан, Давлекановский район, г. Давлеканово, ул. Энгельса, д. 16",от ул. Крестьянская к ул. Тимирязева,"ближнее - встречное, дальнее - попутное",Давлекановский район,54.218984 55.037355
