Этап,№ сим карты,№ Комплекса,Обозначение,IP адрес,IP адрес БИС,Свидетельство о поверки,Дата выдачи,Срок действия,Скорость на комплексе,TV,IRZ,Описание дислокации,Адрес установки,Направление камеры,Направление фиксации,Район,Координаты
2,79273586882,194352M181,uragan-9-068,10.32.9.69,192.168.145.81,С-АБ/27-01-2022/127878753,27.01.2022,26.01.2024,40,1436370130,1003695,"РБ, г. Белебей, ул. Строительная, д. 1А/1","Республика Башкортостан, г. Белебей, ул. Строительная, д. 1А/1",от ул. Советская к с. Надеждино,"ближнее - встречное, дальнее - попутное",Белебеевский район,54.077208 54.122192
4,79659276133,194352M182,uragan-10-008,10.32.10.9,192.168.145.82,С-АБ/21-03-2022/142312830,21.03.2022,20.03.2024,40,1442009757,1003788,"РБ, с.Стерлибашево, ул.Тукаева, 4А","Республика Башкортостан, Стерлибашевский район, с. Стерлибашево, ул. Тукаева, д. 4А",от ул. Галиева,"ближнее - попутное, дальнее - встречное",Стерлибашевский район,53.437201 55.243725
2,79659275348,194352M183,uragan-9-079,10.32.9.80,192.168.145.83,С-АБ/30-06-2021/75369568,30.06.2021,29.06.2023,90,1450497360,1003770,"РБ, Кармаскалинский р-н, а-д Р-240, Уфа-Оренбург, 33 км 800 м",,,встречное,Кармаскалинский район,54.428574 55.921206
2,79659278210,194352M184,uragan-9-097,10.32.9.98,192.168.145.84,С-АБ/29-07-2021/85199277,29.07.2021,28.07.2023,70,1448847188,1003762,"РБ, Чишминский р-н, а-д М-5 ""Урал"", Самара-Уфа-Челябинск,  1441 км 643 м",,,встречное,Чишминский район,54.639414 55.589486
2,79270800937,194352M185,uragan-9-030,10.32.9.31,192.168.145.85,С-АБ/26-01-2022/128423183,26.01.2022,25.01.2024,60,1440964528,1003658,"РБ, Кушнаренковский р-н, с.Байталлы, ул.Шоссейная, 13","Республика Башкортостан, Кушнаренковский район, с. Байталлы, ул. Шоссейная, д. 13",от ул. Школьная к ул. Горная,"ближнее - встречное, дальнее - попутное",Кушнаренковский район,55.052123 55.132643
3,79276376985,194352M186,uragan-9-013,10.32.9.14,192.168.145.86,С-АБ/22-02-2022-135275234,22.02.2022,21.02.2024,90,1660626661,1003648,"РБ, а-д М-7 ""Волга"", обход с.Кушнаренково, 1290км+120м","РБ, Кушнаренковский р-н, а-д М-7 ""Волга"", обход с.Кушнаренково, 1290км+120м",,"ближнее - встречное, дальнее - попутное",Кушнаренковский район,55.066152 55.419003
2,79279230727,194352M187,uragan-9-045,10.32.9.46,192.168.145.87,С-АБ/25-01-2022/128423190,25.01.2022,24.01.2024,60,1658755197,1003712,"РБ, г.Стерлитамак, пр.Ленина, 71","Республика Башкортостан, Городской округ город Стерлитамак, пр. Ленина, д. 71",от ул. Худайбердина к ул. Волочаевская,"ближнее - попутное, дальнее - встречное",Городской округ город Стерлитамак,53.633877 55.934155
3,79659280478,194352M188,uragan-9-096,10.32.9.97,192.168.145.88,С-АБ/31-01-2022/128423137,31.01.2022,30.01.2024,60,1658739398,1003766,"РБ, с.Архангельское, ул.Советская, 146","Республика Башкортостан, Архангельский район, с. Архангельское, ул. Советская, д. 146",от ул. Лазо к ул. Короткая,"ближнее - попутное, дальнее - встречное",Архангельский район,54.404978 56.751165
2,79659275315,194352M189,uragan-9-024,10.32.9.25,192.168.145.89,С-АБ/30-06-2021/75369572,30.06.2021,29.06.2023,70,1440645391,1003619,"РБ, Кармаскалинский р-н, а-д Р-240, Уфа-Оренбург, 49 км 250 м",,,встречное,Кармаскалинский район,54.292483 55.880522
2,79279232176,194352M190,uragan-9-052,10.32.9.53,192.168.145.90,С-АБ/21-01-2022/127878765,21.01.2022,20.01.2024,60,1441006184,1003652,"РБ, г.Белорецк, ул.Луначарского, 24","Республика Башкортостан, Белорецкий район, г. Белорецк, ул. Луначарского, д. 24",от ул. Ульянова к ул. Зеленая,"ближнее - попутное, дальнее - встречное",Белорецкий район,53.984487 58.394658
5,79279248288,194352M191,uragan-09-109,10.32.9.110,192.168.145.91,С-АБ/30-03-2022/145566370,30.03.2022,29.03.2024,90,1442146561,1003813,"РБ, Архангельский р-н, д.Тереклы, а-д Уфа-Инзер-Белорецк 75км 120м","Республика Башкортостан, Архангельский район, д. Тереклы, а-д Уфа-Инзер-Белорецк, 75км+120м",к с. Ирныкши,"ближнее - попутное, дальнее - встречное",Архангельский район,54.423412 56.926402
2,79276355237,194352M192,uragan-9-081,10.32.9.82,192.168.145.92,С-АБ/24-01-2022/128423203,24.01.2022,23.01.2024,60,1344538775,1003782,"РБ, г. Стерлитамак, ул. Уфимская, д. 43","Республика Башкортостан, Городской округ город Стерлитамак, ул. Уфимская, д. 43",от ул. Коммунальная к ул. Матросова,"ближнее - встречное, дальнее - попутное",Городской округ город Стерлитамак,53.693994 55.947228
2,79659275274,194352M193,uragan-9-064,10.32.9.65,192.168.145.93,С-АБ/30-06-2021/75369566,30.06.2021,29.06.2023,70,1443200673,1003699,"РБ, Кармаскалинский р-н, а-д Р-240, Уфа-Оренбург, 33 км 800 м",,,встречное,Кармаскалинский район,54.428650 55.921213
2,"оптика, до этого был 79276367439",194352M194,uragan-9-111,10.32.9.112,192.168.145.94,С-АБ/28-01-2022/127878739,28.01.2022,27.01.2024,60,1479588198,1003607,"РБ, Бакалинский р-н, с.Токбердино, пер-к ул.Садовая и а-д","Республика Башкортостан, Бакалинский район, с. Токбердино, пересечение а-д Кушнаренково – Чекмагуш – Бакалы и ул. Садовая",к ул. Дружбы,"ближнее - встречное, дальнее - попутное",Бакалинский район,55.137739 53.880005
2,79659279578,194352M195,uragan-9-082,10.32.9.83,192.168.145.95,С-АБ/24-01-2022/128423202,24.01.2022,23.01.2024,40,1539455794,1003789,"РБ, г. Стерлитамак, Белорецкий тракт, д. 25","Республика Башкортостан, Городской округ город Стерлитамак, Белорецкий тракт, д. 25",от ул. Орджоникидзе к ул. Дзержинского,"ближнее - попутное, дальнее - встречное",Городской округ город Стерлитамак,53.609124 55.977533
2,79659278190,194352M196,uragan-9-061,10.32.9.62,192.168.145.96,С-АБ/28-01-2022/127878738,28.01.2022,27.01.2024,60,1442940245,1003620,"РБ, Буздякский р-н, с.Буздяк, ул.Вокзальная, 49","Республика Башкортостан, Буздякский район, с. Буздяк, ул. Вокзальная, д. 49",от ул. Комсомольская к ул. Пионерская,"ближнее - встречное, дальнее - попутное",Буздякский район,54.567218 54.524394
2,79659276089,194352M197,uragan-9-091,10.32.9.92,192.168.145.97,С-АБ/21-01-2022/127878764,21.01.2022,20.01.2024,60,1442395572,1003812,"РБ, Белорецкий р-н, г.Белорецк, ул.Блюхера, 8","Республика Башкортостан, Белорецкий район, г. Белорецк, ул. В. Блюхера, д. 8",к ул Маяковского,"ближнее - попутное, дальнее - встречное",Белорецкий район,53.968519 58.388676
2,79276383193,194352M198,uragan-9-070,10.32.9.71,192.168.145.98,С-АБ/27-01-2022/127878752,27.01.2022,26.01.2024,"встречное - 40, попутное - 60",1443524933,1003617,"РБ, Шаранский р-н, с.НовыеКарьявды, пер-к ул.Центральная и ул.Лесная","Республика Башкортостан, Шаранский район, с. Новые Карьявды, перекресток ул. Центральная (а-д Шаран-Новобалтачево-Андреевка) и ул. Лесная",от ул. Луговая к д. Кубаляк,"ближнее - встречное, дальнее - попутное",Шаранский район,54.905970 54.112208
2,79659279217,194352M199,uragan-9-032,10.32.9.33,192.168.145.99,С-АБ/26-01-2022/128423182,26.01.2022,25.01.2024,60,1440981027,1003671,"РБ, с.Кушнаренково, ул.Якупова,13 (Объездная а-д)","Республика Башкортостан, Кушнаренковский район, с. Кушнаренково, ул. Якупова, д. 13 (Объездная а-д )",от ул. 70 лет Октября к ул. Коммунистическая,"ближнее - попутное, дальнее - встречное",Кушнаренковский район,55.096026 55.345583
2,79659280180,194352M200,uragan-9-090,10.32.9.91,192.168.145.100,С-АБ/24-01-2022/128423201,24.01.2022,23.01.2024,60,1440871332,1003721,"РБ, г.Стерлитамак, ул.Западная, 24","Республика Башкортостан, Городской округ город Стерлитамак, ул. Западная, д. 24",от ул. Волочаевская к ул. Тезхническая,"ближнее - попутное, дальнее - встречное",Городской округ город Стерлитамак,53.655494 55.920425
2,79659279064,194352M201,uragan-9-078,10.32.9.79,192.168.146.1,С-АБ/27-01-2022/128423157,27.01.2022,26.01.2024,60,1657484942,1003829,"РБ, г.Нефтекамск, ул.Янаульская, 3Ю","Республика Башкортостан, Городской округ город Нефтекамск, ул. Янаульская, д. 3 лит. Ю",от ул. Первая к ул. Уфимская,"ближнее - встречное, дальнее - попутное",Городской округ город Нефтекамск,56.110807 54.319064
3,79276384581,194352M202,uragan-10-024,10.32.10.25,192.168.146.2,С-АБ/26-01-2022/128423132,26.01.2022,25.01.2024,90,1456689490,1003778,"РБ, с.Байгильдино, Сельская администрация","Республика Башкортостан, Нуримановский район с. Байгильдино, Сельская администрация",от ул. Молодежная к ул. Мира,"ближнее - попутное, дальнее - встречное",Нуримановский район,54.985333 56.503186
2,79276381088,194352M203,uragan-9-020,10.32.9.21,192.168.146.3,С-АБ/28-01-2022/128423170,28.01.2022,27.01.2024,60,154209921,1003663,"РБ Миякинский р-н, с.Новые Карамалы, ул.Школьная,6","Республика Башкортостан, Миякинский район, с. Новые Карамалы, пер. ул. Школьная и ул. Антонова (ул.Школьная, д. 6)",от ул. Школьная к с. Канбеково,"ближнее - попутное, дальнее - встречное",Миякинский район,53.654393 54.701453
2,79276381043,194352M204,uragan-9-044,10.32.9.45,192.168.146.4,С-АБ/21-02-2022/134319422,21.02.2022,20.02.2024,90,1659703179,1003706,"РБ, Буздякский р-н, а-д М-5 ""Урал"", 1367км+900м","РБ, Буздякский р-н, а-д М-5 ""Урал"", 1367км+900",,встречное,Буздякский район,54.641693 54.520017
2,79659278939,194352M205,uragan-9-102,10.32.9.103,192.168.146.5,С-АБ/26-01-2022/128423180,26.01.2022,25.01.2024,40,1435350699,1003752,"РБ, Кушнаренкий р-н, с.Кушнаренково, ул.Октябрьская, 84","Республика Башкортостан, Кушнаренковский район, с. Кушнаренково, ул. Октябрьская, д. 84",от ул. Кутуева к ул. Поповича,"ближнее - встречное, дальнее - попутное",Кушнаренковский район,55.109807 55.346709
2,79659275882,194352M206,uragan-9-100,10.32.9.101,192.168.146.6,С-АБ/27-01-2022/127878751,27.01.2022,26.01.2024,40,1426915370,1003818,"РБ, г. Белебей, ул. Красная, д. 84","Республика Башкортостан, г. Белебей, ул. Красная, д. 84",от ул.Степная к ул. Лесная,"ближнее - попутное, дальнее - встречное",Белебеевский район,54.106684 54.115723
2,79659278201,194352M207,uragan-9-033,10.32.9.34,192.168.146.7,С-АБ/28-01-2022/127878737,29.01.2022,28.01.2022,60,1432911885,1003696,РБ выезд Буздяк ул.Интернациональная АЗС Башнефть,"Республика Башкортостан, Буздякский район, с. Буздяк, выезд с ул. Интернациональная (рядом с АЗС Башнефть)",от ул. Мавлютова,"ближнее - встречное, дальнее - попутное",Буздякский район,54.585249 54.531936
2,79659279642,194352M208,uragan-9-073,10.32.9.74,192.168.146.8,С-АБ/24-01-2022/128423200,24.01.2022,23.01.2024,40,1658280226,1002950,"РБ, г. Стерлитамак, ул. Техническая, д. 12","Республика Башкортостан, Городской округ город Стерлитамак, ул. Техническая, д. 12",от пр. Ленина к ул.Элеваторная,"ближнее - встречное, дальнее - попутное",Городской округ город Стерлитамак,53.663696 55.954699
2,79378583281,194352M209,uragan-9-101,10.32.9.102,192.168.146.9,С-АБ/27-01-2022/127878750,27.01.2022,26.01.2024,60,1439946289,1003755,"РБ, Шаранский р-н, с.Шаран, ул.Первомайская, д.39","Республика Башкортостан, Шаранский район, с. Шаран, ул. Первомайская, д. 39",от ул. Садовая к ул. Луговая,"ближнее - попутное, дальнее - встречное",Шаранский район,54.816003 53.987987
3,79659278630,194352M210,uragan-9-087,10.32.9.88,192.168.146.10,С-АБ/26-01-2022/128423123,26.01.2022,25.01.2024,60,1439161994,1003773,РБ Калтасинский р-н с Краснохолмский ул Ленина 2А,"Республика Башкортостан, Калтасинский район с. Краснохолмский, ул. Ленина, д. 2А",от ул. Садовая к ул. Парковая,"ближнее - встречное, дальнее - попутное",Калтасинский район,55.997982 55.048296
3,79659278614,194352M211,uragan-9-060,10.32.9.61,192.168.146.11,С-АБ/26-01-2022/128423131,26.01.2022,25.01.2024,60,1437223756,1003713,РБ Калтасинский р-н с Калтасы ул Кооперативная 1Г,"Республика Башкортостан, Калтасинский район с. Калтасы, ул. Кооперативная, д. 1Г",от ул. Сюткина к пер. Дорожный,"ближнее - встречное, дальнее - попутное",Калтасинский район,55.963542 54.801507
3,79659279021,194352M212,uragan-10-020,10.32.10.21,192.168.146.12,С-АБ/24-08-2021/90187491,24.08.2021,23.08.2023,80,1657288802,1003795,"РБ, а-д Р-240, Уфа-Оренбург, 11 км 505 м",,,встречное,Город Уфа Кировский район,54.614382 55.925657
3,79659277450,194352M213,uragan-9-129,10.32.9.130,192.168.146.13,С-АБ/31-01-2022/128423136,31.01.2022,30.01.2024,90,1654694224,1003859,"РБ, с. Федоровка, ул. Коммунистическая, д. 1кв1","Республика Башкортостан, Федоровский район с. Федоровка, объездная пересечение а-д с. Федоровка-с. Покровка (Коммунистическая улица, 1кв1)",от ул. Спортивная к ул. Ленина,"ближнее - встречное, дальнее - попутное",Федоровский район,53.188055 55.173426
2,79659279210,194352M214,uragan-9-063,10.32.9.64,192.168.146.14,С-АБ/26-01-2022/128423179,26.01.2022,25.01.2024,60,1439662796,1002989,РБ Кушнаренк. р-н с.Кушнаренково ул.Раздольная 59,"Республика Башкортостан, Кушнаренковский район, с. Кушнаренково, ул. Раздольная, д. 59",от 1-й пер. Раздольной ко 2-й пер. Раздольной,"ближнее - встречное, дальнее - попутное",Кушнаренковский район,55.098654 55.380332
2,79659279680,194352M215,uragan-9-048,10.32.9.49,192.168.146.15,С-АБ/25-01-2022/128423189,25.01.2022,24.01.2024,40,1446914766,1003754,"РБ, г. Стерлитамак, ул. Коммунистическая, д. 116","Республика Башкортостан, Городской округ город Стерлитамак, ул. Коммунистическая, д. 116",от ул. Объездная к ул. Артёма,"ближнее - попутное, дальнее - встречное",Городской округ город Стерлитамак,53.615314 55.902994
2,79659277675,194352M216,uragan-9-010,10.32.9.11,192.168.146.16,С-АБ/27-01-2022/127878748,27.01.2022,27.01.2024,60,1441538977,1003707,"РБ, Шаранский р-н, с. Шаран, ул. Егорова, д. 1а","Республика Башкортостан, Шаранский район, с. Шаран ул. Егорова, д. 1а",от ул. Красноармейская к ул. 60-летия Района,"ближнее - попутное, дальнее - встречное",Шаранский район,54.824337 53.984391
2,79659279310,194352M217,uragan-9-054,10.32.9.55,192.168.146.17,С-АБ/25-01-2022/128423188,25.01.2022,24.01.2024,40,1430331915,1003656,"РБ, г. Стерлитамак, ул. Худайбердина, д. 52","Республика Башкортостан, Городской округ город Стерлитамак, ул. Худайбердина, д. 52",от ул. Шафиева к ул. Советская,"ближнее - встречное, дальнее - попутное",Городской округ город Стерлитамак,53.621989 55.954920
2,79276370985,194352M218,uragan-9-056,10.32.9.57,192.168.146.18,С-АБ/24-01-2022/128423198,24.01.2022,23.01.2024,40,1432898472,1003692,"РБ, г. Стерлитамак, ул. Коммунистическая, д 13","Республика Башкортостан, Городской округ город Стерлитамак, ул. Коммунистическая, д. 13",от ул. Худайбердина к просп.Октября,"ближнее - встречное, дальнее - попутное",Городской округ город Стерлитамак,53.634360 55.909494
2,79279258926,194352M219,uragan-9-108,10.32.9.109,192.168.146.19,С-АБ/21-01-2022/127878757,21.01.2022,20.01.2024,60,1451610780,1003781,"РБ, Белорецкий район, г. Белорецк, ул. В. Блюхера КПМ","Республика Башкортостан, Белорецкий район, г. Белорецк, ул. В. Блюхера, КПМ (д. 172)",от ул. Райсоветская к ул. Короткая,"ближнее - попутное, дальнее - встречное",Белорецкий район,53.954189 58.346813
2,79659277036,194352M220,uragan-9-072,10.32.9.73,192.168.146.20,С-АБ/27-01-2022/128423187,27.01.2022,26.01.2024,40,1439764779,1002964,"РБ, г. Стерлитамак, ул. Стерлибашевский тракт,39с1","Республика Башкортостан, Городской округ город Стерлитамак, ул. Стерлибашевский тракт, д. 39с1",от ул. Механизации к ул.Фестивальная,"ближнее - встречное, дальнее - попутное",Городской округ город Стерлитамак,53.598347 55.922830
4,79276362586,194352M221,uragan-9-126,10.32.9.127,192.168.146.21,С-АБ/21-03-2022/143258027,21.03.2022,20.03.2024,20,1438680217,1003867,"РБ, с. Елимбетово, ул. Парковая, напротив д. 1А","Республика Башкорстостан, Стерлибашевский район, с. Елимбетово, ул. Парковая, напротив д. 1А",от ул Мустая Карима,"ближнее - попутное, дальнее - встречное",Стерлибашевский район,53.350930 55.635219
2,79375009451,194352M222,uragan-9-059,10.32.9.60,192.168.146.22,С-АБ/27-01-2022/128423156,27.01.2022,26.01.2024,60,1430449089,1003650,"РБ, г. Нефтекамск, ул. Дорожная, д. 40","Республика Башкортостан, Городской округ город Нефтекамск, ул. Дорожная, д. 40",от ул. Ленина к ул. Мирная,Встречное,Городской округ город Нефтекамск,56.086209 54.261134
2,79276362287,194352M223,uragan-9-083,10.32.9.84,192.168.146.23,С-АБ/27-01-2022/127878747,27.01.2022,26.01.2024,40,1436261384,1003715,"РБ, г. Белебей, ул. Сыртлановой, д. 2","Республика Башкортостан, г. Белебей, ул. Сыртлановой, д. 2",от ул. Безымянная к ул. Восточная,"ближнее - встречное, дальнее - попутное",Белебеевский район,54.093117 54.132558
2,79279232411,194352M224,uragan-9-112,10.32.9.113,192.168.146.24,С-АБ/21-01-2022/127878763,21.03.2022,20.03.2024,60,1439878613,1003775,"РБ, Белорецкий р-н, г. Белорецк, ул.Мастеров, д.40","Республика Башкортостан, Белорецкий район, г. Белорецк, ул. Мастеров, д. 40",от ул.Учалинской к ул. Берёзовая,"ближнее - встречное, дальнее - попутное",Белорецкий район,53.937123 58.447269
5,79276384940,194352M225,uragan-10-023,10.32.10.24,192.168.146.25,С-АБ/25/02/2022/136187523,28.02.2022,27.02.2024,90,1435102945,1003746,РБ сНовокулево адУфаИглиноКраснаяГоркаПавловка ост,"Республика Башкортостан, Нуримановский район, с. Новокулево, а-д Уфа-Иглино-Красная Горка-Павловка, остановка",к ул. Гоголя,"ближнее - попутное, дальнее - встречное",Нуримановский район,55.094543 56.619781
2,79659276415,194352M226,uragan-9-046,10.32.9.47,192.168.146.26,С-АБ/25-01-2022/128423186,25.01.2022,24.01.2024,40,1432608047,1003088,"РБ, г. Стерлитамак, ул. Бабушкина, д. 12Г","Республика Башкортостан, Городской округ город Стерлитамак, ул. Бабушкина, д. 12Г",от ул. Техническая к ул. Урожайная,"ближнее - попутное, дальнее - встречное",Городской округ город Стерлитамак,53.656387 55.988187
3,79659278604,194352M227,uragan-9-094,10.32.9.95,192.168.146.27,С-АБ/26-1-2022/128423130,26.01.2022,25.01.2024,60,1652837915,1002943,РБ с Калтасы пер ул Кооперативная и ул Галимзянова,"Республика Башкортостан, Калтасинский район с. Калтасы, перекресток ул. Кооперативная и ул. Галимзянова",к ул. Карла Маркса,"ближнее - встречное, дальнее - попутное",Калтасинский район,55.964630 54.803534
2,79659275895,194352M228,uragan-9-084,10.32.9.85,192.168.146.28,С-АБ/27-01-2022/127878746,27.01.2022,26.01.2024,20,1438874091,1003772,"РБ, г. Белебей, ул. Красная, д. 101","Республика Башкортостан, г.Белебей, ул. Красная, д. 101",от ул. Ленина к ул. Амирова,"ближнее - встречное, дальнее - попутное",Белебеевский район,54.100949 54.107986
3,79375009544,194352M229,uragan-9-135,10.32.9.136,192.168.146.29,С-АБ/26-1-2022/128423122,26.01.2022,25.01.2024,60,1654763195,1003800,"РБ, Краснокамский р-н, д. Кутлинка, ул. Занина, 1","Республика Башкортостан, Краснокамский район, д. Кутлинка, перекресток а-д Красный Холм-Нефтекамск и ул. Занина (ул. Занина, 1)",от ул. Российская к с. Кариево,"ближнее - встречное, дальнее - попутное",Краснокамский район,56.052712 54.366008
3,79375009483,194352M230,uragan-10-010,10.32.10.11,192.168.146.30,С-АБ/26-1-2022/128423129,26.01.2022,25.01.2024,60,1435193681,1003412,"РБ, Калтасинский р-н с Кутерем, ул Нефтяников, д 1","Республика Башкортостан, Калтасинский район с. Кутерем, а-д Красный Холм-Нефтекамск (ул. Нефтяников, д. 1)",от д. Большой Кельтей к ул. Нефтяников,"ближнее - попутное, дальнее - встречное",Калтасинский район,55.991579 54.528202
4,79375009485,194352M231,uragan-8-139,10.32.8.140,192.168.146.31,С-АБ/26-01-2022/128423120,26.01.2022,25.01.2024,90,1427198359,1003574,"РБ, д. Редькино, ул. Центральная, д. 10","Республика Башкортостан, Краснокамский район, д. Редькино, перекресток а-д Дюртюли-Нефтекмск и ул. Центральная (ул. Центральная, д. 10)",от пр. Комсомольский к ул. Ленина,"ближнее - встречное, дальнее - попутное",Краснокамский район,55.814953 54.536807
2,79279227648,194352M232,uragan-8-106,10.32.8.107,192.168.146.32,С-АБ/28-01-2022/128423167,28.01.2022,27.01.2024,60,331432758,1003515,"РБ, Миякинский р-н, с.Киргиз-Мияки, ул.Абдулина 43","Республика Башкортостан, Миякинский район, с. Киргиз-Мияки, ул. Абдулина, д. 43",к ул. Алмалык к ул. Дружбы,"ближнее - попутное, дальнее - встречное",Миякинский район,53.645234 54.775076
2,79375009476,194352M233,uragan-9-035,10.32.9.36,192.168.146.33,С-АБ/27-01-2022/128423155,27.01.2022,26.01.2024,60,1652757541,1003662,"РБ, г. Нефтекамск, ул. К. Маркса д. 1","Республика Башкортостан, Городской округ город Нефтекамск, ул. К. Маркса д. 1",от ул. Дорожная к пр. Комсомольский,встречное,Городской округ город Нефтекамск,56.077507 54.248518
2,79279259628,194352M234,uragan-9-009,10.32.9.10,192.168.146.34,С-АБ/25-08-2021/90187480,25.08.2021,24.08.2023,90,1429153858,1003667,"РБ, а-д М-5 ""Урал"", Самара-Уфа-Челябинск, 1476 км 465 м",,,встречное,Город Уфа Октябрьский район,54.652917 56.111406
3,79375009561,194352M235,uragan-074,10.32.8.75,192.168.146.35,С-АБ/26-1-2022/128423128,26.01.2022,25.01.2024,90,1539068040,1003601,"РБ, а-д Нефтекамск–Янаул, подъезд к с. Раздолье","Республика Башкортостан, Краснокамский район а-д Нефтекамск – Янаул (подъезд к с. Раздолье)",к д. Кадреково,"ближнее - встречное, дальнее - попутное",Краснокамский район,56.157521 54.427362
3,79276356373,194352M236,uragan-9-043,10.32.9.44,192.168.146.36,С-АБ/26-1-2022/128423127,26.01.2022,25.01.2024,90,1428231104,1003703,"РБ, с. Новая Бура, а-д Дюртюли-Нефтекамск, 43км","Республика Башкортостан, Краснокамский район с. Новая Бура, а-д Дюртюли-Нефтекамск, 43км",от с. Куяново к с. Новая Бура,"ближнее - попутное, дальнее - встречное",Краснокамский район,55.781010 54.583987
5,79276386469,194352M237,uragan-10-013,10.32.10.14,192.168.146.37,С-АБ/28-02-2022/137281522,28.02.2022,27.02.2024,60,1431286972,1003728,"РБ с. Старокулево, пер. ул Советская и ул Г. Хайри","Республика Башкортостан, Нуримановский район, с. Старокулево, перекресток ул. Советская и ул. Гайнана Хайри",к ул. Колхозная,"ближнее - попутное, дальнее - встречное",Нуримановский район,55.125354 56.645124
2,79270802571,194352M238,uragan-9-034,10.32.9.35,192.168.146.38,С-АБ/21-01-2022/127878762,21.01.2022,20.01.2024,20,1464167738,1003675,"РБ, Белорецкий р-н, г.Белорецк, ул.50л.Октября,31","Республика Башкортостан, Белорецкий район, г. Белорецк, ул. 50 лет Октября, д. 31",от ул.Свердлова а к ул. Салавата Юлаева,"ближнее - встречное, дальнее - попутное",Белорецкий район,53.961383 58.408910
2,79279234759,194352M239,uragan-10-004,10.32.10.5,192.168.146.39,С-АБ/27-01-2022/128423154,27.01.2022,26.01.2024,90,1427080871,1003809,РБ а-д Уфа-Иглино-КрГорка-Павловка ост. с.Уктеево,"Республика Башкортостан, Иглинский район, а-д Уфа – Иглино – Красная Горка – Павловка, с. Уктеево (возле остановки)",к с. Минзитарово,"ближнее - попутное, дальнее - встречное",Иглинский район,54.955593 56.481087
3,79276376846,194352M240,uragan-10-012,10.32.10.13,192.168.146.40,С-АБ/03-02-2022/133515420,03.02.2022,02.02.2024,90,1651737039,1003765,"РБ Нуримановский рн с Красная горка, ул Горная, 15","Республика Башкортостан, Нуримановский район, с. Красная горка, район ул. Горная, д. 15",от ул. Горная к ул. Чапаева,"ближнее - попутное, дальнее - встречное",Нуримановский район,55.212767 56.656815
2,79659279429,194352M241,uragan-9-074,10.32.9.75,192.168.146.41,С-АБ/25-01-2022/128423185,25.01.2022,24.01.2024,40,1434760479,1003827,"РБ, г. Стерлитамак, ул. Гоголя, д. 143Вк1","Республика Башкортостан, Городской округ город Стерлитамак, ул. Гоголя, д. 143Вк1",от пр.Академика Королёва к ул. Суханова,"ближнее - попутное, дальнее - встречное",Городской округ город Стерлитамак,53.590485 55.936301
2,79276384092,194352M242,uragan-9-038,10.32.9.39,192.168.146.42,С-АБ/28-01-2022/128423166,28.01.2022,27.01.2024,60,1431680883,1003020,"РБ, Миякинский р-н, с.Ерлыково, ул.Центральная, 51","Республика Башкортостан, Миякинский район, с. Ерлыково, пер. ул. Центральная и ул. Новопрудная (ул. Центральная, д. 51)",от с. Киргиз-Мияки к д. Никольское,"ближнее - попутное, дальнее - встречное",Миякинский район,53.613599 54.838220
3,79276384768,194352M243,uragan-9-139,10.32.9.140,192.168.146.43,С-АБ/03-02-2022/133515419,03.02.2022,02.02.2022,60,1436279056,1003804,"РБ с. Павловка, ул. Электрификации, д. 44","Республика Башкортостан, Нуримановский район, с. Павловка, ул. Электрификации, д. 44",к ул. 2-я Набережная,"ближнее - встречное, дальнее - попутное",Нуримановский район,55.410895 56.554432
2,79659278852,194352M244,uragan-9-076,10.32.9.77,192.168.146.44,С-АБ/24-02-2022/135275233,24.02.2022,23.02.2024,90,1650397414,1002993,"РБ, Туймазинский р-н, а-д М-5 ""Урал"", 1319км+640м","РБ, Туймазинский р-н, а-д М-5 ""Урал"", 1319км+640м",,"ближнее - встречное, дальнее - попутное",Туймазинский р-н,54.500304 53.942024
3,798758001953,194352M245,uragan-9-117,10.32.9.118,192.168.146.45,С-АБ/28-02-2022/137281553,28.02.2022,27.02.2024,90,1429263170,1003594,"РБ, Кушнаренковский р-н, а-д М-7 ""Волга"" 1273км+564м","РБ, Кушнаренковский р-н, а-д М-7 ""Волга"" 1273км+564м",,встречное,Кушнаренковский район,55.121502 55.215367
2,79279228774,194352M246,uragan-9-113,10.32.9.114,192.168.146.46,С-АБ/26-01-2022/128423177,26.01.2022,25.01.2024,60,1477115271,1003806,"РБ, Кушнарен. р-н, с.Кушнаренково, ул.Горная, д.11","Республика Башкортостан, Кушнаренковский район, с. Кушнаренково, ул. Горная, д. 11",от ул. Юрьева к ул. Стреляевой,"ближнее - встречное, дальнее - попутное",Кушнаренковский район,55.114848 55.341096
2,79279225800,194352M247,uragan-9-018,10.32.9.19,192.168.146.47,С-АБ/28-01-2022/128423165,28.01.2022,27.01.2024,60,1643495960,1003694,"РБ Миякинский р-н с.Киргиз-Мияки, ул.Шоссейная,75","Республика Башкортостан, Миякинский район, с. Киргиз-Мияки, ул. Шоссейная, д. 75",от ул. Магистральная к ул. Школьная,"ближнее - встречное, дальнее - попутное",Миякинский район,53.614498 54.806617
2,79659279539,194352M248,uragan-9-049,10.32.9.50,192.168.146.48,С-АБ/24-01-2022/128423197,24.01.2022,23.01.2024,40,1430436023,1003787,"РБ, г. Стерлитамак, ул. Техническая, д. 9","Республика Башкортостан, Городской округ город Стерлитамак, ул. Техническая, д. 9",от пр. Ленина к ул. Западная,"ближнее - встречное, дальнее - попутное",Городской округ город Стерлитамак,53.663135 55.945134
